Trajectories
100
,,Patient 1:Unlabeled0,,,Patient 1:Unlabeled3,,,Patient 1:Unlabeled1,,,Patient 1:Unlabeled2,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
98,0,71.6462,713.34,61.8679,71.2306,673.638,62.1183,111.551,714.106,62.652,111.468,673.267,62.2935
99,0,71.6805,713.346,61.853,71.2164,673.618,62.1165,111.566,714.165,62.6549,111.499,673.277,62.2861
100,0,71.6819,713.373,61.8605,71.2165,673.614,62.1193,111.577,714.156,62.6713,111.496,673.264,62.3162
101,0,71.6751,713.347,61.8497,71.2396,673.636,62.1145,111.322,714.048,62.5419,111.466,673.241,62.3142
102,0,71.7074,713.366,61.8364,71.2349,673.623,62.1272,111.535,714.148,62.639,111.451,673.241,62.3019
103,0,71.6993,713.385,61.8335,71.2288,673.616,62.1453,111.344,714.091,62.5656,111.478,673.265,62.2982
104,0,71.7026,713.383,61.8203,71.2194,673.619,62.129,111.339,714.083,62.5646,111.476,673.254,62.3089
105,0,71.6989,713.375,61.8428,71.1847,673.604,62.1319,111.319,714.096,62.569,111.499,673.275,62.2881
106,0,71.6972,713.386,61.8566,71.1986,673.571,62.176,111.312,714.058,62.5731,111.493,673.293,62.2874
107,0,71.7063,713.35,61.8555,71.1944,673.588,62.1432,111.543,714.173,62.6418,111.47,673.244,62.3068
108,0,71.6832,713.329,61.8491,71.2146,673.581,62.1592,111.539,714.227,62.631,111.465,673.237,62.315
109,0,71.6782,713.33,61.864,71.2248,673.617,62.1318,111.554,714.179,62.6263,111.48,673.262,62.2939
110,0,71.6586,713.364,61.8577,71.1985,673.601,62.135,111.335,714.094,62.5505,111.479,673.293,62.3133
111,0,71.6666,713.357,61.8478,71.194,673.596,62.1434,111.53,714.096,62.6738,111.495,673.265,62.317
112,0,71.6614,713.364,61.8839,71.2279,673.594,62.1474,111.361,714.101,62.5582,111.48,673.264,62.2993
113,0,71.6627,713.372,61.8603,71.2179,673.597,62.13,111.546,714.145,62.6334,111.473,673.229,62.3227
114,0,71.7003,713.369,61.8728,71.2311,673.657,62.1271,111.566,714.113,62.6781,111.462,673.222,62.3217
115,0,71.6859,713.336,61.8654,71.2342,673.631,62.1129,111.556,714.085,62.6656,111.47,673.285,62.2948
116,0,71.7077,713.358,61.8308,71.221,673.588,62.151,111.346,714.054,62.5983,111.491,673.272,62.3184
117,0,71.6865,713.305,61.8592,71.1886,673.564,62.1673,111.31,714.032,62.5483,111.489,673.275,62.3025
118,0,71.7317,713.354,61.8483,71.2444,673.587,62.1601,111.331,714.103,62.545,111.463,673.254,62.3287
119,0,71.6859,713.386,61.8444,71.2074,673.587,62.1558,111.297,714.075,62.5484,111.481,673.26,62.3022
120,0,71.7012,713.366,61.8444,71.2352,673.632,62.1223,111.314,714.107,62.5242,111.48,673.266,62.3159
121,0,71.6823,713.322,61.8724,71.1832,673.573,62.1586,111.317,714.088,62.5518,111.481,673.24,62.3139
122,0,71.6954,713.323,61.8474,71.1858,673.556,62.1549,111.353,714.056,62.5347,111.486,673.248,62.3162
123,0,71.7333,713.346,61.8276,71.2072,673.601,62.1424,111.565,714.134,62.6633,111.469,673.256,62.3071
124,0,71.7094,713.344,61.845,71.226,673.571,62.1652,111.323,714.127,62.5668,111.491,673.274,62.2782
125,0,71.6742,713.379,61.8391,71.1757,673.546,62.1853,111.526,714.133,62.6474,111.463,673.256,62.3084
126,0,71.7439,713.39,61.827,71.1981,673.601,62.1436,111.541,714.153,62.6652,111.484,673.251,62.3032
127,0,71.7136,713.348,61.8376,71.1764,673.575,62.1523,111.315,714.074,62.5352,111.466,673.242,62.3128
128,0,71.6871,713.365,61.8551,71.2267,673.613,62.1411,111.576,714.172,62.6399,111.478,673.264,62.3052
129,0,71.6881,713.349,61.8572,71.2197,673.594,62.147,111.343,714.074,62.5633,111.48,673.267,62.3161
130,0,71.6362,713.37,61.8598,71.2553,673.627,62.1352,111.555,714.142,62.6629,111.466,673.218,62.3152
131,0,71.6876,713.339,61.8639,71.249,673.648,62.1004,111.543,714.124,62.6409,111.483,673.247,62.3157
132,0,71.6969,713.373,61.8711,71.2342,673.662,62.111,111.551,714.143,62.6306,111.463,673.254,62.3109
133,0,71.7021,713.36,61.8479,71.2098,673.604,62.0779,111.322,714.066,62.5466,111.476,673.276,62.2966
134,0,71.699,713.345,61.8201,71.1454,673.546,62.1603,111.55,714.098,62.6428,111.481,673.243,62.3117
135,0,71.7063,713.378,61.8517,71.225,673.548,62.1745,111.343,714.097,62.5635,111.467,673.262,62.3012
136,0,71.6622,713.311,61.8584,71.2035,673.589,62.1386,111.295,714.103,62.5371,111.453,673.195,62.3168
137,0,71.6694,713.309,61.8477,71.1517,673.576,62.1185,111.531,714.104,62.6644,111.482,673.252,62.2985
138,0,71.6763,713.33,61.855,71.198,673.578,62.1232,111.542,714.125,62.6513,111.483,673.243,62.3056
